"Age","male.shape","male.rate","female.shape","female.rate"
0,0.0838582164557135,7.90830081093554e-05,0.0947776707348034,2.45537971757796e-05
1,0.0862969180368246,7.11277772497708e-05,0.0974664896345933,2.16529160574137e-05
2,0.086437854480173,7.6700553776021e-05,0.0976574612665488,2.35022347598525e-05
3,0.0865272658122226,8.30580212861443e-05,0.0977529680103665,2.57151854297208e-05
4,0.0865840231934493,9.01791763225097e-05,0.0978223230901525,2.82003883325711e-05
5,0.0866121120476695,9.8130528188664e-05,0.0978705914000262,3.09811273912608e-05
6,0.0866261651692949,0.000106898680592006,0.0979027814817005,3.40816680061453e-05
7,0.086629706825975,0.00011654171875075,0.0979377879468932,3.74868065117712e-05
8,0.0866333274295455,0.000127055564455278,0.0979661523569288,4.12556778988868e-05
9,0.0866296519852949,0.000138589636089834,0.0979924068356562,4.54131222017292e-05
10,0.086621921262513,0.00015121215349912,0.0980118954409412,5.00169683260093e-05
11,0.086606501555214,0.000165068977917387,0.0980334774051556,5.50812220430716e-05
12,0.0865965670190386,0.000180123453573043,0.0980569324050518,6.06527990233605e-05
13,0.0865816245673965,0.000196612662914129,0.0980819260054121,6.67836326104652e-05
14,0.0865744523983241,0.000214495810696263,0.0981040282798188,7.3552654642142e-05
15,0.086580896315333,0.00023379617622941,0.098135505729951,8.09591495615817e-05
16,0.0866066147408387,0.000254523238034047,0.0981717903738126,8.90879056875578e-05
17,0.0866794374649233,0.00027628384690929,0.0982332429496761,9.78751300117652e-05
18,0.0867950394856092,0.000299154684816559,0.0983026225770074,0.000107486115307888
19,0.0869931122023359,0.000322366615291873,0.0983915614113275,0.000117907069569363
20,0.0872073588249641,0.000347174180781782,0.0984952994439227,0.000129238421558596
21,0.0874371592001629,0.000373700719933273,0.0985972622997242,0.000141703309673911
22,0.0877033411942634,0.000401579210108819,0.0987087876067005,0.000155308906196599
23,0.0879564036709183,0.000432081271967747,0.0988175931738084,0.000170286349828912
24,0.088204655196166,0.000465251549061291,0.0989231510197472,0.000186784131299193
25,0.0884656483424376,0.000500849711146148,0.0990401645603272,0.000204783485043633
26,0.088699485706523,0.000540239869307709,0.0991489267719463,0.000224675632095971
27,0.0889292094812295,0.0005831169608261,0.0992564480829569,0.000246570704563637
28,0.0891388382338512,0.000630340868834558,0.0993545223407212,0.000270799673255074
29,0.089345082321342,0.000681781357857728,0.0994679940085922,0.000297212046899794
30,0.0895409484892657,0.00073809994129,0.0995813597554548,0.000326274288007419
31,0.0897222919691849,0.000799950769199458,0.099696954507844,0.000358214133650819
32,0.089902132079135,0.000867348453366677,0.0998002167645882,0.000393624034810741
33,0.0900589534190608,0.000941792606177252,0.0999142432358412,0.000432380272538674
34,0.0902081323573747,0.00102330216582945,0.100013467130724,0.000475414176206518
35,0.0903253348382654,0.00111383760057734,0.100117210107116,0.000522713923098793
36,0.0904392828029176,0.00121283293866402,0.100227284977601,0.000574655406418631
37,0.0905367495886274,0.00132188912077099,0.100345565802025,0.000631645320149863
38,0.0906373650368483,0.0014408197850259,0.100460178216247,0.000694565066560979
39,0.0907359073460568,0.00157089388451983,0.10058467660173,0.000763615315267611
40,0.0908322800103594,0.00171318935353974,0.100706937603818,0.000839720452523929
41,0.0909045779647027,0.00187056909421637,0.100828401412357,0.00092371272623062
42,0.0909843350667136,0.00204207834350087,0.100960328131897,0.00101588230382013
43,0.0910815640684468,0.00222812408517756,0.101100102298347,0.00111715970706208
44,0.0911686436290672,0.00243251982380841,0.10126042208416,0.00122780897990243
45,0.0912920888427528,0.00265248725509605,0.101441725629039,0.00134868093415997
46,0.0914347238698716,0.00289098238358474,0.101625226086342,0.00148183423886828
47,0.0916040281134383,0.00314877549194971,0.101865844528633,0.00162508403382506
48,0.0917950046341498,0.00342804145846043,0.102105381916998,0.00178306708615302
49,0.0919983609671786,0.00373185445483577,0.102351974455485,0.00195678144982424
50,0.0922409511291319,0.00405883431867117,0.102619621224929,0.00214678477518765
51,0.0924974659077223,0.00441448860890296,0.102909931643721,0.00235453209356464
52,0.0927457229578511,0.00480483796574978,0.103191231993885,0.00258459934322143
