"Age","male.shape","male.rate","female.shape","female.rate","a","b","t","r_death"
0,0.0838582247272448,7.9083008120192e-05,0.0947776722253364,2.45537971799138e-05,0.0838582247272448,7.9083008120192e-05,0,7.58579047110009e-05
1,0.0862969180361486,7.11277772535497e-05,0.0974664896314911,2.16529160628213e-05,0.0862969180361486,7.11277772535497e-05,0,6.81451343334216e-05
2,0.08643786424274,7.6700553788057e-05,0.097657461264688,2.3502234763324e-05,0.08643786424274,7.6700553788057e-05,0,7.34791204029011e-05
3,0.0865272655046253,8.305802128866e-05,0.0977529680079156,2.57151854345191e-05,0.0865272655046253,8.305802128866e-05,0,7.95660679568666e-05
4,0.0865840321302018,9.01791763297088e-05,0.0978223236047683,2.82003883377128e-05,0.0865840321302018,9.01791763297088e-05,0,8.6385416425491e-05
5,0.0866121106103645,9.8130528183847e-05,0.0978705915175405,3.09811273769382e-05,0.0866121106103645,9.8130528183847e-05,0,9.40009611223181e-05
6,0.0866261637853138,0.000106898680591344,0.0979027820751824,3.40816680046218e-05,0.0866261637853138,0.000106898680591344,0,0.00010239941959435
7,0.086629746689978,0.000116541718815372,0.09793779101893,3.74868065030089e-05,0.086629746689978,0.000116541718815372,0,0.000111636394659058
8,0.0866333259005079,0.000127055564453309,0.0979661524822074,4.12556778960449e-05,0.0866333259005079,0.000127055564453309,0,0.000121707490363053
9,0.0866296519512945,0.000138589636089341,0.0979924068366085,4.54131221983756e-05,0.0866296519512945,0.000138589636089341,0,0.000132756305550435
10,0.0866219388023181,0.000151212153543106,0.0980118955614506,5.00169683294695e-05,0.0866219388023181,0.000151212153543106,0,0.000144848083348787
11,0.0866065157443396,0.000165068977956072,0.0980334921000145,5.50812220552813e-05,0.0866065157443396,0.000165068977956072,0,0.000158122916964361
12,0.0865965784770543,0.000180123453608792,0.0980569323990989,6.06527990299601e-05,0.0865965784770543,0.000180123453608792,0,0.00017254474901268
13,0.0865816334186607,0.000196612662944103,0.0980819393639769,6.67836326266165e-05,0.0865816334186607,0.000196612662944103,0,0.000188341560998131
14,0.0865744524008213,0.000214495810693883,0.0981040295022608,7.35526546437277e-05,0.0865744524008213,0.000214495810693883,0,0.000205473127555844
15,0.0865808963608371,0.00023379617622811,0.0981355059339845,8.09591495616128e-05,0.0865808963608371,0.00023379617622811,0,0.000223960919507055
16,0.0866066357173557,0.000254523238131768,0.0981717946545198,8.90879056927731e-05,0.0866066357173557,0.000254523238131768,0,0.00024381295000172
17,0.0866794540909748,0.000276283846995143,0.0982332605812146,9.78751300408662e-05,0.0866794540909748,0.000276283846995143,0,0.000264648380019186
18,0.0867950414803658,0.00029915468482744,0.0983026254593467,0.000107486115313855,0.0867950414803658,0.00029915468482744,0,0.000286539710041358
19,0.0869931124974212,0.000322366615293579,0.0983915636456944,0.00011790706957173,0.0869931124974212,0.000322366615293579,0,0.000308742687554527
20,0.0872073654147696,0.00034717418082961,0.0984953087120141,0.000129238421579212,0.0872073654147696,0.00034717418082961,0,0.000332466729506363
21,0.0874371593775952,0.000373700719936377,0.0985972695996908,0.000141703309692391,0.0874371593775952,0.000373700719936377,0,0.000357828998829463
22,0.0877033436533389,0.000401579210126627,0.0987088158890719,0.000155308906281511,0.0877033436533389,0.000401579210126627,0,0.000384473014032073
23,0.0879564051862686,0.000432081271983648,0.0988176147011715,0.000170286349903256,0.0879564051862686,0.000432081271983648,0,0.000413624196566649
24,0.0882046451994374,0.000465251548981996,0.098923166420403,0.000186784131355604,0.0882046451994374,0.000465251548981996,0,0.000445323084091831
25,0.0884656407827248,0.000500849711064428,0.0990401667980712,0.000204783485052941,0.0884656407827248,0.000500849711064428,0,0.000479334808387372
26,0.088699485706143,0.00054023986931769,0.0991489675273636,0.000224675632301819,0.088699485706143,0.00054023986931769,0,0.000516973334413672
27,0.0889292094811516,0.000583116960827416,0.099256453247579,0.000246570704592621,0.0889292094811516,0.000583116960827416,0,0.000557940695091942
28,0.0891388382339051,0.000630340868832687,0.099354522320204,0.000270799673255195,0.0891388382339051,0.000630340868832687,0,0.000603063420318631
29,0.0893450823212508,0.000681781357861022,0.0994680013898596,0.000297212046971985,0.0893450823212508,0.000681781357861022,0,0.000652211606750735
30,0.0895409484892739,0.000738099941290031,0.0995813676400231,0.000326274288192742,0.0895409484892739,0.000738099941290031,0,0.000706019464033804
31,0.089722290914213,0.000799950769175165,0.0996969614719217,0.000358214133697246,0.089722290914213,0.000799950769175165,0,0.000765113691927627
32,0.0899021302810924,0.00086734845333485,0.0998002357110763,0.000393624034975581,0.0899021302810924,0.00086734845333485,0,0.000829502797015625
33,0.0900589534190913,0.000941792606176233,0.0999142432356255,0.000432380272542508,0.0900589534190913,0.000941792606176233,0,0.000900629109593729
34,0.0902081434389413,0.00102330216606359,0.100013467130801,0.000475414176205767,0.0902081434389413,0.00102330216606359,0,0.000978504184240821
35,0.0903253195163092,0.00111383760022539,0.100117207580489,0.000522713923081427,0.0903253195163092,0.00111383760022539,0,0.0010650147102948
36,0.0904392828029076,0.00121283293866435,0.100227320830239,0.000574655406804712,0.0904392828029076,0.00121283293866435,0,0.00115960569909366
37,0.0905367329287715,0.00132188912029227,0.100345577133686,0.000631645320302395,0.0905367329287715,0.00132188912029227,0,0.00126381511206162
38,0.0906373650368363,0.00144081978502629,0.100460175096123,0.000694565066511446,0.0906373650368363,0.00144081978502629,0,0.00137745258165765
39,0.0907359073461926,0.00157089388451044,0.100584676601734,0.000763615315267537,0.0907359073461926,0.00157089388451044,0,0.00150173315113219
40,0.0908322800101944,0.00171318935355117,0.100706926047956,0.000839720452323544,0.0908322800101944,0.00171318935355117,0,0.00163768614712491
41,0.0909045787315427,0.00187056909429433,0.100828401412393,0.000923712726229412,0.0909045787315427,0.00187056909429433,0,0.00178806623174578
42,0.0909843372184654,0.00204207834373947,0.100960328132008,0.00101588230381526,0.0909843372184654,0.00204207834373947,0,0.00195193427276898
43,0.0910815652224706,0.00222812408534086,0.101100080269559,0.00111715970650656,0.0910815652224706,0.00222812408534086,0,0.00212966537851252
44,0.0911686583031877,0.00243251982660758,0.101260425069904,0.0012278089800653,0.0911686583031877,0.00243251982660758,0,0.00232492935693773
45,0.0912920885386916,0.0026524872550196,0.101441725704019,0.00134868093416646,0.0912920885386916,0.0026524872550196,0,0.00253501354048469
46,0.0914347725257995,0.00289098239036982,0.101625227183888,0.0014818342389474,0.0914347725257995,0.00289098239036982,0,0.00276275206481928
47,0.0916040306967765,0.00314877549222134,0.101865845229782,0.00162508403389146,0.0916040306967765,0.00314877549222134,0,0.00300885991814035
48,0.0917950589744276,0.003428041464597,0.102105392943875,0.00178306708740699,0.0917950589744276,0.003428041464597,0,0.00327540864886863
49,0.0919983644561726,0.00373185445518163,0.102352011608668,0.00195678145480401,0.0919983644561726,0.00373185445518163,0,0.00356533753677639
50,0.0922409634005281,0.00405883432000864,0.102619622081615,0.00214678477531424,0.0922409634005281,0.00405883432000864,0,0.00387726430425518
51,0.092497465876583,0.00441448860888464,0.102909930878365,0.00235453209344899,0.092497465876583,0.00441448860888464,0,0.00421647609027121
52,0.0927457197016994,0.00480483796520343,0.103191231119636,0.00258459934315421,0.0927457197016994,0.00480483796520343,0,0.00458875543944323
53,0.0930518450510442,0.00522281939062709,0.103520867230142,0.0028340283347955,0.0930518450510442,0.00522281939062709,0,0.00498718786894578
54,0.0933848467641013,0.00567581641976677,0.103810165246226,0.00311357133360022,0.0933848467641013,0.00567581641976677,0,0.00541885928610529
55,0.0936977564965175,0.00617552510205041,0.104117298075156,0.00342059510243652,0.0936977564965175,0.00617552510205041,0,0.00589503701818465
56,0.0940667886199989,0.00671244268490929,0.104375681253182,0.00376577064266833,0.0940667886199989,0.00671244268490929,0,0.00640640447856348
57,0.0944427077003691,0.00729962348846024,0.104656650490255,0.00414496889724277,0.0944427077003691,0.00729962348846024,0,0.00696552534733891
58,0.0948535650952528,0.00793624813330441,0.10490686868675,0.00456887804779838,0.0948535650952528,0.00793624813330441,0,0.00757148115084484
59,0.0952724638835268,0.00863310765207611,0.105172771583176,0.00503626092223732,0.0952724638835268,0.00863310765207611,0,0.00823461392425615
60,0.0956750345940884,0.00940225266733298,0.105396278036723,0.00556078226832245,0.0956750345940884,0.00940225266733298,0,0.00896647986045949
61,0.0960452258164837,0.0102556270877148,0.105599776699918,0.00614585257409524,0.0960452258164837,0.0102556270877148,0,0.00977852112652584
62,0.0963160497870456,0.011220464915731,0.105796591716733,0.00679631328262951,0.0963160497870456,0.011220464915731,0,0.0106970479765956
63,0.0966152444260522,0.0122744459397903,0.105990563723254,0.00751900657862322,0.0966152444260522,0.0122744459397903,0,0.0117001401532026
64,0.0970201464382359,0.0134051874211456,0.106314734636819,0.00829519494530893,0.0970201464382359,0.0134051874211456,0,0.0127754307482051
65,0.0971859439112419,0.0147231089277028,0.10641947862409,0.00920479337640131,0.0971859439112419,0.0147231089277028,0,0.0140302938535806
66,0.097384666533194,0.0161663437826607,0.106618501724845,0.0101943966338136,0.097384666533194,0.0161663437826607,0,0.0154041095789734
67,0.097594613531787,0.0177548819559922,0.106814544540419,0.0112955842349584,0.097594613531787,0.0177548819559922,0,0.0169160020783957
68,0.0978676477832371,0.0194845593016435,0.107064636503155,0.0125062424913221,0.0978676477832371,0.0194845593016435,0,0.0185614630430262
69,0.0979744415135721,0.0214601024038469,0.10717355382473,0.0138939877899059,0.0979744415135721,0.0214601024038469,0,0.0204423394698831
70,0.0980742095578123,0.023645616311379,0.107265114296269,0.0154442830939086,0.0980742095578123,0.023645616311379,0,0.0225230983732087
